Report generated on: 04-06-2026 16:31:52
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"","Iran","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-IRN-TBPD.A","        Total petroleum and other liquids (Mb/d)","5861.432876712329","6021.8794520547945","5349.890410958904","5883.065573770492","5662.904109589041","5241.882191780822","3168.068493150685","1661.967213114754","1379.9561643835616","2213.8383561643836","2439.7561643835616","2174.3169398907103","2250.4741833508956","2034.986301369863","2298.0575342465754","2240.030054644809","2809.8739726027397","3087.9989890410957","3311.9997232876713","3429.098360655738","3698.7671232876714","3662.2876712328766","3701.7123287671234","3717.964480874317","3671.449315068493","3705.0109589041094","3572.150684931507","3759.6994535519125","3775.0246575342467","3509.8438356164384","3958.7397452054793","4143.413289617486","4198.720460273973","4260.2553287671235","4365.4065068493155","4177.4809087431695","4177.604115068493","4271.964498630137","4266.265287671233","3594.7877267759563","3354.3651301369864","3486.8227410958903","3555.5519369863014","4438.250366666667","4949.400743835617","4711.350636986302","3400.3200698630135","3005.4735978142076","3483.96860926821","3682.8404133577833","4119.433515561318","4626.733124537005","4711.304415000997"
"INTL.55-1-IRN-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","5861.432876712329","6021.8794520547945","5349.890410958904","5883.065573770492","5662.904109589041","5241.882191780822","3168.068493150685","1661.967213114754","1379.9561643835616","2213.8383561643836","2439.7561643835616","2174.3169398907103","2250.4741833508956","2034.986301369863","2298.0575342465754","2240.030054644809","2809.8739726027397","3087.9989890410957","3311.9997232876713","3429.098360655738","3698.7671232876714","3662.2876712328766","3701.7123287671234","3717.964480874317","3671.449315068493","3705.0109589041094","3572.150684931507","3759.6994535519125","3775.0246575342467","3509.8438356164384","3958.7397452054793","4145.639289617487","4200.424460273973","4261.312328767123","4361.931506849315","4176.144808743169","4173.160315068493","4276.318498630137","4269.537287671233","3597.297726775956","3353.7806301369865","3482.1060410958903","3548.7811369863016","4431.683666666667","4942.561643835616","4704.4301369863015","3393.301369863014","2998.8387978142077","3476.7123287671234","3675.6849315068494","4112.109589041096","4619.434426229508","4703.972602739726"
"INTL.57-1-IRN-TBPD.A","                Crude oil including lease condensate (Mb/d)","5861.432876712329","6021.8794520547945","5349.890410958904","5883.065573770492","5662.904109589041","5241.882191780822","3168.068493150685","1661.967213114754","1379.9561643835616","2213.8383561643836","2439.7561643835616","2173.224043715847","2250.4739726027397","2034.986301369863","2298.0575342465754","2240.030054644809","2809.8739726027397","3087.8082191780823","3311.972602739726","3430.409836065574","3648.7671232876714","3607.2876712328766","3651.7123287671234","3667.964480874317","3599.4849315068495","3630.0109589041094","3497.150684931507","3684.6994535519125","3695.013698630137","3395.1643835616437","3861.958904109589","4063.1256284153005","4068.219178082192","4116.312328767123","4211.931506849315","4050.273224043716","4037.0383479452053","4080.4189506849316","4054","3386.8497267759562","3113.2986301369865","3239.068493150685","3293.1890410958904","4151.166666666667","4452.561643835616","4212.416438356165","2933.301369863014","2512.9918032786886","2952.4657534246576","3136.5342465753424","3524.8082191780823","3976.5245901639346","4193.972602739726"
"INTL.58-1-IRN-TBPD.A","                NGPL (Mb/d)","","","","","","","","","","","","10","25","25","25","25","25","35","40","50","50","55","50","50","71.96438356164384","75","75","75","80.01095890410959","114.67945205479452","96.78084109589041","82.51366120218579","132.2052821917808","145","150","125.87158469945355","136.12196712328767","195.5205479452055","215.12328767123287","210","240","242.5205479452055","255.04109589041096","280","490","492.013698630137","460","485.8469945355191","524.2465753424658","539.1506849315068","587.3013698630137","642.9098360655738","510"
"INTL.59-1-IRN-TBPD.A","                Other liquids (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.379","0.414","0.448","0.482","0.517","0.551","0.517","0","0","0","0","0","0","0","0","0"
"INTL.56-1-IRN-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","","","","","","","","","","","","","","-3.8","-0.5","5.4","2","-6.3","-5.4","-11","-5.914841311","-3.710203973","-6.532803753","-4.76093673972604","-2.226","-1.704","-1.057","3.475","1.3361","4.4438","-4.354","-3.272","-2.51","0.5844999999999999","4.716699999999999","6.7708","6.5667","6.8391","6.9205","7.0187","6.634799999999999","7.256280501086616","7.155481850933856","7.323926520221918","7.298698307497268","7.331812261271233"
"INTL.54-1-IRN-TBPD.A","        Refined petroleum products (Mb/d)","","","","","","","","","","","","","","659","575","600","680","870","892","936","984","999","1057","1083","1180","1193","1138","1556.8972404371582","1576.6892602739724","1571.4681643835618","1576.7830684931505","1603.4435245901639","1651.4980273972606","1708.363589041095","1709.7286027397256","1693.25849726776","1725.7169315068486","1703.8893150684937","1751.2409315068492","1817.396338797815","1865.1289315068486","1802.8638356164386","","","","","","","","","","",""
"INTL.62-1-IRN-TBPD.A","            Motor gasoline (Mb/d)","","","","","","","","","","","","","","71","91","92","107","120","136","138","145","143","147","149","152","211","187","220.987595628415","196.984575342466","242.158520547945","250.782","252.567240437158","266.299589041096","280.929123287671","283.546547945205","279.69543715847","281.116082191781","281.349780821918","297.685315068493","341.176693989071","380.811917808219","382.237479452055","","","","","","","","","","",""
